Workloads	Group	Page cache	Chell
512	0	160	210
1K	0	203	246
2K	0	304	344
4K	0	486	467
8K	0	776	703
16K	0	1529	1340
512	1	410	235
1K	1	448	270
2K	1	500	343
4K	1	631	592
8K	1	1258	882
16K	1	1933	1471
